Tanggal,Kab/Kota,Harga
2021-04-02,Kab. Bojonegoro,10000
2021-04-02,Kab. Bondowoso,10500
2021-04-02,Kab. Gresik,10600
2021-04-02,Kab. Jember,11000
2021-04-02,Kab. Jombang,
2021-04-02,Kab. Kediri,9500
2021-04-02,Kab. Lamongan,10000
2021-04-02,Kab. Lumajang,10000
2021-04-02,Kab. Madiun,9750
2021-04-02,Kab. Magetan,10000
2021-04-02,Kab. Malang,
2021-04-02,Kab. Mojokerto,9300
2021-04-02,Kab. Nganjuk,9300
2021-04-02,Kab. Ngawi,9200
2021-04-02,Kab. Pacitan,9000
2021-04-02,Kab. Pamekasan,11000
2021-04-02,Kab. Pasuruan,
2021-04-02,Kab. Ponorogo,
2021-04-02,Kab. Probolinggo,9600
2021-04-02,Kab. Sampang,10500
2021-04-02,Kab. Sidoarjo,11000
2021-04-02,Kab. Situbondo,
2021-04-02,Kab. Sumenep,10500
2021-04-02,Kab. Trenggalek,10000
2021-04-02,Kab. Tuban,9500
2021-04-02,Kab. Tulungagung,9500
2021-04-02,Kota Batu,11100
2021-04-02,Kota Blitar,10500
2021-04-02,Kota Kediri,9500
2021-04-02,Kota Madiun,10000
2021-04-02,Kota Malang,10500
2021-04-02,Kota Mojokerto,11000
2021-04-02,Kota Pasuruan,11000
2021-04-02,Kota Probolinggo,10000
2021-04-02,Kota Surabaya,10500
2021-04-03,Kab. Bangkalan,11000
2021-04-03,Kab. Banyuwangi,10000
2021-04-03,Kab. Blitar,9500
2021-04-03,Kab. Bojonegoro,10000
2021-04-03,Kab. Bondowoso,10500
2021-04-03,Kab. Gresik,10600
2021-04-03,Kab. Jember,11500
2021-04-03,Kab. Jombang,9500
2021-04-03,Kab. Kediri,9300
2021-04-03,Kab. Lamongan,10000
2021-04-03,Kab. Lumajang,10500
2021-04-03,Kab. Madiun,9750
2021-04-03,Kab. Magetan,10000
2021-04-03,Kab. Malang,
2021-04-03,Kab. Mojokerto,9300
2021-04-03,Kab. Nganjuk,9300
2021-04-03,Kab. Ngawi,9200
2021-04-03,Kab. Pacitan,9000
2021-04-03,Kab. Pamekasan,11000
2021-04-03,Kab. Pasuruan,10500
